seed,success,steps,total_reward,final_distance,initial_distance,path_length,collisions,initial_heading,final_heading,episode
1000,0,400,-751.3022868226421,88.76002084257983,27.457734019935472,86.16482588423398,343,2.9590145814719326,1.388218254677033,1
1001,0,400,-644.2108710287038,46.326818886094166,62.11594785738827,115.69470459547716,328,1.1792883917752939,2.3573856368714634,2
1002,0,400,-735.205965148364,79.34125418497138,46.13528903660743,48.472275960131114,349,4.697386726069344,4.697386726069347,3
1003,0,400,-673.8333759574109,75.37119870981911,57.53782275240801,102.00492947318355,326,3.108161880358474,6.249754533948272,4
1004,0,400,-644.3444735445108,56.45432203664849,52.10984849213549,84.42299965933235,318,0.8700789470210494,1.6554771104184987,5
1005,0,400,-663.6130174181425,87.0328370130727,47.41981959492795,132.36496904561028,310,1.8050587860277387,5.339350521316259,6
1006,0,400,-721.3611164610604,52.80963844573377,25.448521984670716,66.80583621340125,345,1.8713292444659357,1.8713292444659402,7
1007,0,400,-709.3237660841943,95.02820889307506,75.7044428088783,81.35969494147699,343,4.039638985937328,4.039638985937333,8
1008,0,400,-725.0634813634597,91.12402911311148,70.0605477496493,35.80716287164907,350,1.3661707578174123,2.544268002913589,9
1009,1,65,49.52037507709569,5.798285487523854,45.96866056461956,42.0,0,0.31322597403973956,1.0986241374371906,10
1010,0,400,-634.9051164173236,79.87463407267742,78.96951765535242,126.53381546974948,315,5.765932966239059,6.158632047937786,11
1011,0,400,-698.4753863346982,86.71936540000593,42.243979065305574,112.5715854551071,325,1.33580604236235,6.048195022747043,12
1012,0,400,-661.8283931086476,54.24116927916673,52.41277617051694,74.10615344444602,328,1.4981402080361623,0.32004296293999346,13
1013,0,400,-705.0761978610647,81.72019753938838,60.64399967832124,77.7307729773153,340,4.226444860769286,3.441046697371842,14
1014,0,400,-658.5880257097601,49.79526821443298,47.20724250467106,92.41683191653762,326,5.642079281612756,0.14429213783062167,15
1015,0,400,-613.6377675590618,19.010121043061652,53.372353483997856,72.49360667238999,322,4.029438906258114,4.0294389062581155,16
1016,0,400,-730.8608827060418,80.49673203026776,29.63584932422345,63.887305770192555,338,2.2218848313152733,2.221884831315277,17
1017,0,400,-739.0965763973353,95.75956739319057,68.66299099585267,35.54705830287167,354,6.110896546364497,0.220410320883639,18
1018,0,400,-677.5787165565146,67.2978980617903,29.719181505273365,95.70845265291304,318,5.475883254532775,2.726989682641711,19
1019,0,400,-640.1398686618968,81.8004643938861,53.66059573198776,126.43495815427355,304,2.9335197209759545,3.326218802674685,20
1020,1,69,39.69743784378553,4.942195883821372,35.329633727606904,32.000000000000036,0,0.4755917525075713,1.6536889976037479,21
1021,0,400,-727.2999113994209,110.68819875416978,71.38828735474625,52.57506409457228,342,6.229548114438849,4.2660527059452304,22
1022,0,400,-683.7138076039154,61.69666374181153,63.982856137894885,108.23688026591925,341,3.705913421984965,1.3497189317926268,23
1023,0,400,-646.1100275481408,37.109762551911196,34.99973500376825,68.55329570069847,320,5.715197614975505,0.21741047119336976,24
1024,0,400,-729.7679094061248,102.11709267599677,56.34918326986944,56.368705104837176,340,2.326737749731555,3.504834994827732,25
1025,0,400,-684.5255811853386,76.70374064282275,56.17815945748181,71.59233642705924,330,1.018786758504687,5.3384766571906574,26
1026,0,400,-734.1189991349717,74.26661465099035,30.14761551601615,52.14705123847055,343,1.2225202206166552,2.4006174657128314,27
1027,0,400,-685.8592274008724,92.76107232431542,28.90184492344242,103.80067267585116,309,3.55101795853787,0.016726223249358796,28
1028,0,400,-736.260229810367,109.71949176762813,65.45926195725845,55.447269840942894,344,4.243111456318666,5.813907783113567,29
1029,0,400,-695.0768987383035,85.8861025930656,66.80920385475982,91.68297189385137,336,0.3091109532051812,5.806898096987325,30
1030,0,400,-711.2606945750679,107.2033738335637,85.94267925849331,36.01546446929105,343,5.107093209079615,4.321695045682171,31
1031,0,400,-592.2928249049827,99.47475170468948,63.18192679970519,140.62400493068492,276,4.160440502040578,2.9823432569444113,32
1032,0,400,-712.9757432876983,66.73518645111443,33.75944316341365,40.232216431637454,338,6.2611416656575605,5.868442583958842,33
1033,0,400,-724.4618295948582,60.106132083945454,31.64430248908477,34.20795112652871,346,5.784688374039176,1.0722993936544905,34
1034,0,400,-702.6508248441529,116.20258089573694,57.55175605158163,99.6937137641386,320,0.48742505769975825,3.629017711289556,35
1035,0,400,-695.7378910219251,101.42713930406609,53.689248282138685,57.709682166917844,322,4.959923766360567,3.7818265212644007,36
1036,0,400,-719.0449188949177,112.45518293173377,49.41026403681352,81.16061081143398,326,3.1207571735102673,0.7645626833179278,37
1037,0,400,-704.0599107110855,63.34009690101615,25.28018618993062,99.59876376938509,331,3.826652877197467,3.0412547138000243,38
1038,0,400,-646.2159909876857,75.02954963301731,38.813558645329536,110.9890075503805,303,2.4738676768421684,0.903071350047278,39
1039,0,400,-647.3199537231872,80.5728740804936,29.25292035730429,109.49683717646056,296,3.480221266209198,5.443716674702825,40
1040,0,400,-673.1717039084195,42.99783805435252,49.826134145931285,91.45821923202061,338,4.471511473095338,6.042307799890239,41
1041,0,400,-717.70234054519,84.03307867799734,44.33073813280489,52.81970232619354,337,5.553425934298529,5.946125015997259,42
1042,0,400,-680.2292357407058,74.55837737397779,36.32914163326968,56.019826022636686,319,3.6191377481085927,4.011836829807323,43
1043,1,98,61.81295046881469,5.982574438981082,58.775524907795784,70.0,0,2.5020576111467836,6.036349346435308,44
1044,0,400,-617.9512578159103,74.85553037581526,76.90427255990399,156.62921660470937,308,0.20143912647247353,4.913828106857167,45
1045,1,91,48.24630742210971,5.933502345543274,45.089809767652994,56.00000000000004,0,4.520313896628195,1.771420324737134,46
1046,0,400,-692.1918832551369,81.04028380963125,52.84840055449196,31.598059539191265,330,4.115303316446768,2.151807907953154,47
1047,0,400,-681.0471369467324,51.20544952130824,30.158312574573404,84.98226924988631,328,2.0685392131669444,0.4977428863720532,48
1048,0,400,-674.1616267147715,80.22247788894404,66.06085117417048,103.52648829543664,328,5.915685196796643,0.41789805301451066,49
1049,0,400,-690.9960876724614,81.90773072689078,40.91164305442704,70.37474944811518,323,4.88647878507452,3.708381539978354,50
1050,0,400,-689.5208031693352,108.32239159627974,34.80158842694218,93.48653475975011,306,6.258265561533901,1.1531774994504937,51
1051,0,400,-669.3913203490057,76.82130676853907,65.42998641953248,58.68241890640032,327,1.2242756766073364,0.04617843151116929,52
1052,0,400,-579.1043020250834,21.804344801938214,64.70004277685301,89.0818841306193,309,2.6161022609830256,0.6526068524894106,53
1053,0,400,-701.6387869985263,110.09150264400937,72.45271564548092,50.890239306129196,330,5.20493234313868,4.81223326143996,54
1054,0,400,-692.4789586015885,80.93009387963357,68.4511352780427,81.76155735112357,338,3.023207302515068,3.8086054659125224,55
1055,0,400,-690.7850144838069,100.94665451323841,34.16164002942959,143.63103009097944,310,3.665340123516325,2.879941960118883,56
1056,0,400,-634.7046746914682,64.21674459892637,59.51206990745765,155.2918093466455,313,2.893850344707051,1.7157530996108843,57
1057,1,85,48.516713486809714,5.180383612448634,44.54709709925838,49.99999999999993,0,2.0538177482241777,0.4830214214292883,58
1058,0,400,-707.8220709456515,90.27518124197617,68.45311029632241,85.69185555682053,341,2.9837336740182736,2.591034592319555,59
1059,1,76,57.48813158322798,5.885272089509104,54.1334036727371,54.00000000000012,0,2.7198515946812942,0.7563561861876802,60
1060,0,400,-713.7088251595703,90.74988731536484,47.04106215579198,89.3738859196638,333,5.812352866510845,1.0999638861261625,61
1061,0,400,-668.3393605934733,81.79204550835453,43.45268491488002,99.68410104751457,313,1.8696697286559127,3.047766973752092,62
1062,0,400,-645.8032562182042,64.16058899149924,66.35733277329275,103.6406537579772,322,4.802157403168738,0.4824675044827802,63
1063,0,400,-644.0951998841098,99.41314147145785,29.31794158734589,120.42368289318122,285,1.875558087270435,3.839053495764062,64
1064,0,400,-647.0983475304296,22.20326820380323,31.104920673372536,75.3979742608334,326,0.8960893607541359,3.252283850946487,65
1065,0,400,-674.2551357120936,60.647415555892344,34.39227984379635,79.20386268001467,322,5.314434714256274,1.3874438972690393,66
1066,0,400,-662.0992290982091,57.64383108618793,29.54460198797659,92.66271979397423,315,0.168726275753109,5.273814337836528,67
1067,0,400,-698.6249252033854,64.50737624122426,45.88245103783649,22.626244991816634,338,0.03179914145800562,1.2098963865541834,68
1068,0,400,-614.4505747212265,58.8253205897188,50.37474586849058,134.8216717858755,301,1.0572753723941646,3.413469862586515,69
1069,0,400,-591.4867021869585,36.68994896456786,63.20324677760748,95.83207400123145,307,0.9951688320991003,2.9586642405927273,70
