gap_center,bird_y,dx,rel_pos,activations,total_activation,max_channel
80.0,60.0,50.0,aligned,"[0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0, 0.0]",2.2350000000000003,1
80.0,60.0,100.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0]",2.2350000000000003,2
80.0,60.0,150.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0]",2.2350000000000003,2
80.0,80.0,50.0,aligned,"[0.0, 1.0, 0.0, 0.0, 0.15, 0.0, 0.0, 1.0, 0.0]",2.15,1
80.0,80.0,100.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.15, 0.0, 0.0, 1.0]",2.15,2
80.0,80.0,150.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.15, 0.0, 0.0, 1.0]",2.15,2
80.0,100.0,50.0,aligned,"[0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0, 0.0]",2.2350000000000003,1
80.0,100.0,100.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0]",2.2350000000000003,2
80.0,100.0,150.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.23500000000000001, 0.0, 0.0, 1.0]",2.2350000000000003,2
80.0,120.0,50.0,aligned,"[0.0, 1.0, 0.0, 0.0, 0.40499999999999997, 0.0, 0.0, 1.0, 0.0]",2.4050000000000002,1
80.0,120.0,100.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.40499999999999997, 0.0, 0.0, 1.0]",2.4050000000000002,2
80.0,120.0,150.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.40499999999999997, 0.0, 0.0, 1.0]",2.4050000000000002,2
80.0,140.0,50.0,aligned,"[0.0, 1.0, 0.0, 0.0, 0.575, 0.0, 0.0, 0.8300000000000001, 0.0]",2.4050000000000002,1
80.0,140.0,100.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.575, 0.0, 0.0, 0.8300000000000001]",2.4050000000000002,2
80.0,140.0,150.0,aligned,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.575, 0.0, 0.0, 0.8300000000000001]",2.4050000000000002,2
80.0,160.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 0.745, 0.0, 0.0, 0.6599999999999999, 0.0]",2.405,1
80.0,160.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.745, 0.0, 0.0, 0.6599999999999999]",2.4050000000000002,2
80.0,160.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.745, 0.0, 0.0, 0.6599999999999999]",2.4050000000000002,2
80.0,180.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 0.915, 0.0, 0.0, 0.49, 0.0]",2.4050000000000002,1
80.0,180.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.915, 0.0, 0.0, 0.49]",2.4050000000000002,2
80.0,180.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.915, 0.0, 0.0, 0.49]",2.4050000000000002,2
80.0,200.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32, 0.0]",2.3200000000000003,1
80.0,200.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32]",2.32,2
80.0,200.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32]",2.32,2
80.0,220.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15, 0.0]",2.15,1
80.0,220.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15]",2.15,2
80.0,220.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15]",2.15,2
80.0,240.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15, 0.0]",2.15,1
80.0,240.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15]",2.15,2
80.0,240.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.15]",2.15,2
80.0,260.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32, 0.0]",2.3200000000000003,1
80.0,260.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32]",2.32,2
80.0,260.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.32]",2.32,2
80.0,280.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.49, 0.0]",2.49,1
80.0,280.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.49]",2.49,2
80.0,280.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.49]",2.49,2
80.0,300.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6599999999999999, 0.0]",2.66,1
80.0,300.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6599999999999999]",2.66,2
80.0,300.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.6599999999999999]",2.66,2
80.0,320.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.8300000000000001, 0.0]",2.83,1
80.0,320.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.8300000000000001]",2.83,2
80.0,320.0,150.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.8300000000000001]",2.83,2
80.0,340.0,50.0,above_gap,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",3.0,1
80.0,340.0,100.0,above_gap,"[0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0]",3.0,2
