episode,score,steps,total_reward,mean_score_50,eval_mean_score,eval_success_rate,wall_time_s
1,3,50000,52.998999999967424,3.0,,,41.0
2,0,179,-0.8219999999999998,1.5,,,41.1
3,0,211,-0.7899999999999998,1.0,,,41.2
4,1,331,0.32999999999998764,1.0,,,41.4
5,2,446,1.444999999999975,1.2,,,41.6
6,0,205,-0.7959999999999998,1.0,,,41.8
7,0,188,-0.8129999999999998,0.8571428571428571,,,41.9
8,3,50000,52.998999999967424,1.125,,,70.9
9,2,446,1.444999999999975,1.2222222222222223,,,71.1
10,2,454,1.452999999999974,1.3,,,71.4
11,0,179,-0.8219999999999998,1.1818181818181819,,,71.5
12,3,50000,52.998999999967424,1.3333333333333333,,,101.7
13,2,456,1.4549999999999739,1.3846153846153846,,,102.0
14,1,313,0.3119999999999896,1.3571428571428572,,,102.2
15,1,330,0.32899999999998775,1.3333333333333333,,,102.3
16,0,189,-0.8119999999999998,1.25,,,102.4
17,2,446,1.444999999999975,1.2941176470588236,,,102.7
18,2,446,1.444999999999975,1.3333333333333333,,,102.9
19,0,179,-0.8219999999999998,1.263157894736842,,,103.0
20,0,191,-0.8099999999999998,1.2,,,103.1
21,2,446,1.444999999999975,1.2380952380952381,,,103.4
22,2,458,1.4569999999999736,1.2727272727272727,,,103.6
23,0,201,-0.7999999999999998,1.2173913043478262,,,103.7
24,0,213,-0.7879999999999998,1.1666666666666667,,,103.9
25,2,461,1.4599999999999733,1.2,,,104.1
26,0,179,-0.8219999999999998,1.1538461538461537,,,104.2
27,0,179,-0.8219999999999998,1.1111111111111112,,,104.3
28,0,179,-0.8219999999999998,1.0714285714285714,,,104.4
29,0,182,-0.8189999999999998,1.0344827586206897,,,104.5
30,0,214,-0.7869999999999998,1.0,,,104.6
31,2,446,1.444999999999975,1.032258064516129,,,104.9
32,2,446,1.444999999999975,1.0625,,,105.1
33,0,179,-0.8219999999999998,1.0303030303030303,,,105.2
34,2,446,1.444999999999975,1.0588235294117647,,,105.5
35,2,448,1.4469999999999748,1.0857142857142856,,,105.7
36,0,195,-0.8059999999999998,1.0555555555555556,,,105.8
37,1,313,0.3119999999999896,1.054054054054054,,,106.0
38,0,179,-0.8219999999999998,1.0263157894736843,,,106.1
39,1,313,0.3119999999999896,1.0256410256410255,,,106.3
40,0,199,-0.8019999999999998,1.0,,,106.4
41,1,313,0.3119999999999896,1.0,,,106.6
42,0,183,-0.8179999999999998,0.9761904761904762,,,106.7
43,0,179,-0.8219999999999998,0.9534883720930233,,,106.8
44,1,331,0.32999999999998764,0.9545454545454546,,,107.0
45,2,446,1.444999999999975,0.9777777777777777,,,107.2
46,0,179,-0.8219999999999998,0.9565217391304348,,,107.3
47,1,348,0.34699999999998576,0.9574468085106383,,,107.5
48,0,189,-0.8119999999999998,0.9375,,,107.6
49,0,187,-0.8139999999999998,0.9183673469387755,,,107.7
50,3,50000,52.998999999967424,0.96,,,138.4
51,3,50000,52.998999999967424,0.96,,,170.8
52,0,191,-0.8099999999999998,0.96,,,170.9
53,2,455,1.453999999999974,1.0,,,171.1
54,3,50000,52.998999999967424,1.04,,,201.3
55,1,313,0.3119999999999896,1.02,,,201.5
56,2,453,1.4519999999999742,1.06,,,201.7
57,0,195,-0.8059999999999998,1.06,,,201.8
58,2,446,1.444999999999975,1.04,,,202.1
59,1,320,0.31899999999998885,1.02,,,202.3
60,0,179,-0.8219999999999998,0.98,,,202.4
61,1,313,0.3119999999999896,1.0,,,202.5
62,2,472,1.470999999999972,0.98,,,202.8
63,2,456,1.4549999999999739,0.98,,,203.1
64,0,182,-0.8189999999999998,0.96,,,203.2
65,2,460,1.4589999999999734,0.98,,,203.4
66,0,179,-0.8219999999999998,0.98,,,203.5
67,0,179,-0.8219999999999998,0.94,,,203.6
68,1,320,0.31899999999998885,0.92,,,203.8
69,0,189,-0.8119999999999998,0.92,,,203.9
70,0,179,-0.8219999999999998,0.92,,,204.0
71,3,50000,52.998999999967424,0.94,,,233.2
72,1,330,0.32899999999998775,0.92,,,233.4
73,3,50000,52.998999999967424,0.98,,,263.7
74,0,179,-0.8219999999999998,0.98,,,263.8
75,1,313,0.3119999999999896,0.96,,,264.0
76,3,50000,52.998999999967424,1.02,,,291.2
77,1,336,0.3349999999999871,1.04,,,291.4
78,0,179,-0.8219999999999998,1.04,,,291.5
79,1,332,0.3309999999999875,1.06,,,291.7
80,0,198,-0.8029999999999998,1.06,,,291.8
81,1,328,0.32699999999998797,1.04,,,292.0
